time,temperature,fan_status
03:01:40,27.6,0
03:01:45,27.1,0
03:01:51,27.1,0
03:01:56,27.1,0
03:02:01,27.1,0
03:02:06,27.2,0
03:02:12,27.4,0
03:02:17,27.5,0
03:02:26,27.6,0
03:02:36,27.6,0
03:02:43,27.6,0
03:02:49,27.6,1
03:02:54,27.6,1
03:03:05,27.5,1
03:03:10,27.5,1
03:03:15,27.5,1
03:03:21,27.4,1
03:03:26,27.4,1
03:03:31,27.3,1
03:03:37,27.3,1
03:03:42,27.3,1
03:03:47,27.2,1
03:03:53,27.2,1
03:03:58,27.2,1
03:04:03,27.2,1
03:04:09,27.2,1
03:04:49,27.1,0
03:04:55,27.1,1
03:05:05,27.2,1
03:05:11,27.2,1
03:05:16,27.1,1
03:05:21,27.2,1
03:05:27,27.2,1
03:05:32,27.2,1
03:05:40,27.2,0
03:05:45,27.1,1
03:05:51,27.6,1
03:05:56,27.6,1
03:06:01,27.6,1
03:06:07,27.6,1
03:06:12,27.6,1
03:06:17,27.6,1
03:06:23,27.6,1
03:06:28,27.6,1
03:06:33,27.6,1
03:06:39,27.2,1
03:06:44,27.2,1
03:06:49,27.1,1
03:06:55,27.1,1
03:07:00,27.2,1
03:07:05,27.2,1
03:07:11,27.1,1
03:07:16,27.2,1
03:07:21,27.2,1
03:07:27,27.2,1
03:07:32,27.2,1
03:07:43,27.1,1
03:07:48,27.2,1
03:07:53,27.2,1
03:07:59,27.1,1
03:08:04,27.1,1
03:08:09,27.2,1
03:08:15,27.2,1
03:08:20,27.1,1
03:08:25,27.2,1
03:08:31,27.2,1
03:08:36,27.2,1
03:12:44,27.1,0
03:12:49,27.6,1
03:12:54,27.6,1
03:13:00,27.6,1
03:13:05,27.6,1
03:13:10,27.6,1
03:17:40,27.6,0
03:19:12,27.6,0
03:19:17,27.6,1
03:19:23,27.6,1
03:19:28,27.6,1
03:19:33,27.6,1
03:19:39,27.6,1
03:19:44,27.6,1
03:20:49,27.6,0
03:20:54,27.6,0
03:21:00,27.6,0
03:21:10,27.6,0
03:21:16,27.6,0
03:21:21,27.6,0
03:21:26,27.6,0
03:21:32,27.6,0
